date,yhat,yhat_lower,yhat_upper
2025-08-01,371580.5823809701,280757.6357282929,491783.9526037986
2025-09-01,262294.02892025525,198183.18880207508,347144.1613376999
2025-10-01,207969.45297795025,157136.76844305382,275246.06339156197
2025-11-01,177045.5130914322,133771.33919263142,234318.50122885546
2025-12-01,234586.17958820998,177247.7648028997,310473.06670701265
2026-01-01,405594.48910566716,306457.77400378033,536801.0586704954
2026-02-01,395483.45415882143,298818.10478420364,523419.19294332975
2026-03-01,620056.2412434462,468500.2212108888,820639.299345921
2026-04-01,628652.669122338,474995.48760151357,832016.5959543635
2026-05-01,624387.9137907004,471773.13497318036,826372.2298229823
2026-06-01,738038.4577147091,557644.9143477795,976787.7240434701
2026-07-01,704964.69952783,532655.1310343663,933014.8962888166
2026-08-01,549425.320696954,415133.0958388478,727159.8978891866
2026-09-01,387832.51896328386,293037.23127109616,513293.2475764937
2026-10-01,307507.3540502355,232345.35421106522,406983.5990558762
2026-11-01,261782.7344271787,197796.86625236273,346467.46757792565
2026-12-01,346863.2609731956,262081.78696087594,459070.7953500774
2027-01-01,599718.813459788,453133.7209603236,793722.8927399142
